Experiment,Bottle,Treatment,Treatment_Btl,Timepoint,Days,Cells_mL,DOC,biovolume
SIP1614,A,S_Control,Control_A,0,0.00,215517,69.03,0.020758951
SIP1614,A,S_Control,Control_A,1,0.51,269049,70.51,0.022293289
SIP1614,A,S_Control,Control_A,2,0.97,281254,,0.027121408
SIP1614,A,S_Control,Control_A,3,1.33,291794,,0.047498208
SIP1614,A,S_Control,Control_A,4,2.05,267385,,0.027785972
SIP1614,A,S_Control,Control_A,5,2.40,317312,70.76,0.01094207
SIP1614,B,S_Control,Control_B,0,0.00,235210,70.55,0.025456424
SIP1614,B,S_Control,Control_B,1,0.51,311210,71.46,0.023906355
SIP1614,B,S_Control,Control_B,2,0.97,322859,,0.044144441
SIP1614,B,S_Control,Control_B,3,1.33,299560,,0.024491698
SIP1614,B,S_Control,Control_B,4,2.05,252962,,0.014666354
SIP1614,B,S_Control,Control_B,5,2.40,370012,71.14,0.012911916
SIP1614,E,S_TW_lys_PPL,TW_lys_PPL_E,0,0.00,228858,75.53,0.01772656
SIP1614,E,S_TW_lys_PPL,TW_lys_PPL_E,1,0.51,632479,72.74,0.067755097
SIP1614,E,S_TW_lys_PPL,TW_lys_PPL_E,2,0.97,793373,,0.069956184
SIP1614,E,S_TW_lys_PPL,TW_lys_PPL_E,3,1.33,957965,,0.072452677
SIP1614,E,S_TW_lys_PPL,TW_lys_PPL_E,4,2.05,1155846,,0.047249061
SIP1614,E,S_TW_lys_PPL,TW_lys_PPL_E,5,2.40,1055981,73.41,0.064823208
SIP1614,F,S_TW_lys_PPL,TW_lys_PPL_F,0,0.00,237485,76.46,0.019591495
SIP1614,F,S_TW_lys_PPL,TW_lys_PPL_F,1,0.51,628114,74.24,0.038691863
SIP1614,F,S_TW_lys_PPL,TW_lys_PPL_F,2,0.97,854502,,0.082799045
SIP1614,F,S_TW_lys_PPL,TW_lys_PPL_F,3,1.33,956228,,0.071729856
SIP1614,F,S_TW_lys_PPL,TW_lys_PPL_F,4,2.05,1189274,,0.024878857
SIP1614,F,S_TW_lys_PPL,TW_lys_PPL_F,5,2.40,1030211,72.91,0.060217708
SIP1614,G,M_Control,Control_G,0,0.00,103033,61.64,0.03948835
SIP1614,G,M_Control,Control_G,1,0.51,157879,59.78,0.059519726
SIP1614,G,M_Control,Control_G,2,0.97,231964,,0.040045303
SIP1614,G,M_Control,Control_G,3,1.33,197280,,0.074179185
SIP1614,G,M_Control,Control_G,4,2.05,176470,,0.004839204
SIP1614,G,M_Control,Control_G,5,2.40,191731,59.29,0.0537383
SIP1614,H,M_Control,Control_H,0,0.00,109335,60.87,0.052574559
SIP1614,H,M_Control,Control_H,1,0.51,185926,60.85,0.044217929
SIP1614,H,M_Control,Control_H,2,0.97,263626,,0.071042215
SIP1614,H,M_Control,Control_H,3,1.33,198968,,0.057235169
SIP1614,H,M_Control,Control_H,4,2.05,255301,,0.034074809
SIP1614,H,M_Control,Control_H,5,2.40,211178,58.21,0.084938145
SIP1614,K,M_TW_lys_PPL,TW_lys_PPL_K,0,0.00,109559,66.38,0.086548567
SIP1614,K,M_TW_lys_PPL,TW_lys_PPL_K,1,0.51,803186,59.98,0.138749459
SIP1614,K,M_TW_lys_PPL,TW_lys_PPL_K,2,0.97,1219584,,0.062701207
SIP1614,K,M_TW_lys_PPL,TW_lys_PPL_K,3,1.33,1423157,,0.116754292
SIP1614,K,M_TW_lys_PPL,TW_lys_PPL_K,4,2.05,1177019,,0.022691306
SIP1614,K,M_TW_lys_PPL,TW_lys_PPL_K,5,2.40,934583,58.75,0.034187531
SIP1614,L,M_TW_lys_PPL,TW_lys_PPL_L,0,0.00,119011,68.15,0.087045395
SIP1614,L,M_TW_lys_PPL,TW_lys_PPL_L,1,0.51,794952,60.55,0.148895819
SIP1614,L,M_TW_lys_PPL,TW_lys_PPL_L,2,0.97,1141991,,0.074369662
SIP1614,L,M_TW_lys_PPL,TW_lys_PPL_L,3,1.33,1277105,,0.155721139
SIP1614,L,M_TW_lys_PPL,TW_lys_PPL_L,4,2.05,1199368,,0.022640958
SIP1614,L,M_TW_lys_PPL,TW_lys_PPL_L,5,2.40,1086465,59.2,0.045896715
SIP1712,A,Control,Control_A,0,0.00,28660,60.26,0.013571289
SIP1712,A,Control,Control_A,1,0.85,45240,,0.032546603
SIP1712,A,Control,Control_A,2,1.41,71831,,0.023096168
SIP1712,A,Control,Control_A,3,2.36,83762,,0.029119148
SIP1712,A,Control,Control_A,4,3.13,87295,58.28,0.045347628
SIP1712,A,Control,Control_A,5,3.66,152703,,0.048972185
SIP1712,A,Control,Control_A,6,4.32,153230,58.22,0.05484962
SIP1712,B,Control,Control_B,0,0.00,37856,59.42,0.009118868
SIP1712,B,Control,Control_B,1,0.85,54115,,0.020867157
SIP1712,B,Control,Control_B,2,1.41,53766,,0.039401406
SIP1712,B,Control,Control_B,3,2.36,85979,,0.033075593
SIP1712,B,Control,Control_B,4,3.13,78642,59.24,0.054681341
SIP1712,B,Control,Control_B,5,3.66,88313,,0.047775122
SIP1712,B,Control,Control_B,6,4.32,55998,58.58,0.035534565
SIP1712,E,AA,AA_E,0,0.00,44491,62.99,0.00655839
SIP1712,E,AA,AA_E,1,0.85,65369,,0.016935032
SIP1712,E,AA,AA_E,2,1.41,85005,,0.026412934
SIP1712,E,AA,AA_E,3,2.36,330856,,0.074365836
SIP1712,E,AA,AA_E,4,3.13,603247,60.37,0.058606807
SIP1712,E,AA,AA_E,5,3.66,598227,,0.072925099
SIP1712,E,AA,AA_E,6,4.32,500702,59.58,0.042786123
SIP1712,F,AA,AA_F,0,0.00,36713,64.36,0.003062766
SIP1712,F,AA,AA_F,1,0.85,67267,,0.018888594
SIP1712,F,AA,AA_F,2,1.41,90224,,0.025487644
SIP1712,F,AA,AA_F,3,2.36,398677,,0.103250581
SIP1712,F,AA,AA_F,4,3.13,588823,60.24,0.084731348
SIP1712,F,AA,AA_F,5,3.66,684779,,0.107989338
SIP1712,F,AA,AA_F,6,4.32,750205,59.19,0.083001672
SIP1726,A,Control,Control_A,0,0.00,101039,56.09,0.023610212
SIP1726,A,Control,Control_A,1,0.57,112958,,0.016108757
SIP1726,A,Control,Control_A,2,1.10,94538,,0.019198635
SIP1726,A,Control,Control_A,3,1.61,95970,55.93,0.005998511
SIP1726,A,Control,Control_A,4,2.23,88481,,0.015841309
SIP1726,A,Control,Control_A,5,2.69,72671,54.62,0.032401379
SIP1726,B,Control,Control_B,0,0.00,68533,55.56,0.012957352
SIP1726,B,Control,Control_B,1,0.57,93725,,0.014461799
SIP1726,B,Control,Control_B,2,1.10,105787,,0.009682376
SIP1726,B,Control,Control_B,3,1.61,56861,57.58,0.016442546
SIP1726,B,Control,Control_B,4,2.23,90977,,0.017542033
SIP1726,B,Control,Control_B,5,2.69,98466,57.83,0.012656408
SIP1726,C,Syn_lys,Syn_lys_C,0,0.00,121897,60.11,0.01557922
SIP1726,C,Syn_lys,Syn_lys_C,1,0.57,56344,,0.002316684
SIP1726,C,Syn_lys,Syn_lys_C,2,1.10,215081,,0.05186477
SIP1726,C,Syn_lys,Syn_lys_C,3,1.61,427150,59.71,0.039924917
SIP1726,C,Syn_lys,Syn_lys_C,4,2.23,959702,,0.027695834
SIP1726,C,Syn_lys,Syn_lys_C,5,2.69,824345,58.05,0.035704535
SIP1726,D,Syn_lys,Syn_lys_D,0,0.00,69027,61.08,0.012562692
SIP1726,D,Syn_lys,Syn_lys_D,1,0.57,85953,,0.009669663
SIP1726,D,Syn_lys,Syn_lys_D,2,1.10,132236,,0.041834423
SIP1726,D,Syn_lys,Syn_lys_D,3,1.61,414946,59.37,0.030384671
SIP1726,D,Syn_lys,Syn_lys_D,4,2.23,859848,,0.023208102
SIP1726,D,Syn_lys,Syn_lys_D,5,2.69,843206,57.27,0.023076221
SIP1726,E,Syn_lys_PPL,Syn_lys_PPL_E,0,0.00,114312,57.72,0.015690765
SIP1726,E,Syn_lys_PPL,Syn_lys_PPL_E,1,0.57,98059,,0.020294482
SIP1726,E,Syn_lys_PPL,Syn_lys_PPL_E,2,1.10,283885,,0.111989728
SIP1726,E,Syn_lys_PPL,Syn_lys_PPL_E,3,1.61,423267,57.99,0.025635995
SIP1726,E,Syn_lys_PPL,Syn_lys_PPL_E,4,2.23,462708,,0.024974551
SIP1726,E,Syn_lys_PPL,Syn_lys_PPL_E,5,2.69,614797,57.68,0.049127584
SIP1726,F,Syn_lys_PPL,Syn_lys_PPL_F,0,0.00,60949,57.83,0.014140687
SIP1726,F,Syn_lys_PPL,Syn_lys_PPL_F,1,0.57,73138,,0.017549907
SIP1726,F,Syn_lys_PPL,Syn_lys_PPL_F,2,1.10,152236,,0.032766951
SIP1726,F,Syn_lys_PPL,Syn_lys_PPL_F,3,1.61,280699,58.22,0.075529954
SIP1726,F,Syn_lys_PPL,Syn_lys_PPL_F,4,2.23,272965,,0.021889693
SIP1726,F,Syn_lys_PPL,Syn_lys_PPL_F,5,2.69,286036,58.32,0.03391183
SIP1726,G,Syn_exu_PPL,Syn_exu_PPL_G,0,0.00,92642,60.21,0.015791675
SIP1726,G,Syn_exu_PPL,Syn_exu_PPL_G,1,0.57,68262,,0.015623083
SIP1726,G,Syn_exu_PPL,Syn_exu_PPL_G,2,1.10,98059,,0.019024528
SIP1726,G,Syn_exu_PPL,Syn_exu_PPL_G,3,1.61,255181,59.94,0.029330594
SIP1726,G,Syn_exu_PPL,Syn_exu_PPL_G,4,2.23,317904,,0.020055386
SIP1726,G,Syn_exu_PPL,Syn_exu_PPL_G,5,2.69,535451,60.27,0.027181064
SIP1726,H,Syn_exu_PPL,Syn_exu_PPL_H,0,0.00,67969,59.6,0.028332157
SIP1726,H,Syn_exu_PPL,Syn_exu_PPL_H,1,0.57,55803,,0.006791259
SIP1726,H,Syn_exu_PPL,Syn_exu_PPL_H,2,1.10,78283,,0.018168964
SIP1726,H,Syn_exu_PPL,Syn_exu_PPL_H,3,1.61,255736,59.45,0.032775697
SIP1726,H,Syn_exu_PPL,Syn_exu_PPL_H,4,2.23,373384,,0.030041166
SIP1726,H,Syn_exu_PPL,Syn_exu_PPL_H,5,2.69,331813,58.47,0.027953391
