	Blank_F1_S236	Blank_F10_S245	Blank_F2_S237	Blank_F3_S238	Blank_F4_S239	Blank_F5_S240	Blank_F6_S241	Blank_F7_S242	Blank_F8_S243	Blank_F9_S244	Blank_whole_S246	CsCl_control_plateCC_S134	frac_water_control_plateCB_S96	GB_control_plateCC_S133	mock_amplicon_even_control_plateCB_S94	mock_amplicon_even_plateCC_S191	mock_amplicon_even_plateDA_S210	mock_amplicon_stag_control_plateCB_S95	mock_amplicon_stag_plateCC_S192	mock_amplicon_stag_plateDA_S211	mock782D_control_plateCB_S34	mock782D_control_plateCC_emptystock_S131	mock783D_control_plateCB_S35	mock783D_control_plateCC_emptystock_S132	neg_control_plateCB_S36	neg_control_plateCC_S130	neg_control_plateDA_S209	SIP1614_A5_S82	SIP1614_A5B5_S70	SIP1614_AB0_S76	SIP1614_AB5_F1_S1	SIP1614_AB5_F10_S10	SIP1614_AB5_F2_S2	SIP1614_AB5_F3_S3	SIP1614_AB5_F4_S4	SIP1614_AB5_F5_S5	SIP1614_AB5_F6_S6	SIP1614_AB5_F7_S7	SIP1614_AB5_F8_S8	SIP1614_AB5_F9_S9	SIP1614_AB5_whole_S11	SIP1614_B5_S83	SIP1614_C5_S84	SIP1614_C5D5_S71	SIP1614_CD0_S77	SIP1614_CD5_F1_S12	SIP1614_CD5_F10_S21	SIP1614_CD5_F2_S13	SIP1614_CD5_F3_S14	SIP1614_CD5_F4_S15	SIP1614_CD5_F5_S16	SIP1614_CD5_F6_S17	SIP1614_CD5_F7_S18	SIP1614_CD5_F8_S19	SIP1614_CD5_F9_S20	SIP1614_CD5_whole_S22	SIP1614_D5_S85	SIP1614_E5_S86	SIP1614_E5F5_S72	SIP1614_EF0_S78	SIP1614_EF5_F1_S23	SIP1614_EF5_F10_S32	SIP1614_EF5_F2_S24	SIP1614_EF5_F3_S25	SIP1614_EF5_F4_S26	SIP1614_EF5_F5_S27	SIP1614_EF5_F6_S28	SIP1614_EF5_F7_S29	SIP1614_EF5_F8_S30	SIP1614_EF5_F9_S31	SIP1614_EF5_whole_S33	SIP1614_F5_S87	SIP1614_G5_S88	SIP1614_G5H5_S73	SIP1614_GH0_S79	SIP1614_GH5_F1_S37	SIP1614_GH5_F10_S46	SIP1614_GH5_F2_S38	SIP1614_GH5_F3_S39	SIP1614_GH5_F4_S40	SIP1614_GH5_F5_S41	SIP1614_GH5_F6_S42	SIP1614_GH5_F7_S43	SIP1614_GH5_F8_S44	SIP1614_GH5_F9_S45	SIP1614_GH5_whole_S47	SIP1614_H5_S89	SIP1614_I5_S90	SIP1614_I5J5_S74	SIP1614_IJ0_S80	SIP1614_IJ5_F1_S48	SIP1614_IJ5_F10_S57	SIP1614_IJ5_F2_S49	SIP1614_IJ5_F3_S50	SIP1614_IJ5_F4_S51	SIP1614_IJ5_F5_S52	SIP1614_IJ5_F6_S53	SIP1614_IJ5_F7_S54	SIP1614_IJ5_F8_S55	SIP1614_IJ5_F9_S56	SIP1614_IJ5_whole_S58	SIP1614_J5_S91	SIP1614_K5_S92	SIP1614_K5L5_S75	SIP1614_KL0_S81	SIP1614_KL5_F1_S59	SIP1614_KL5_F10_S68	SIP1614_KL5_F2_S60	SIP1614_KL5_F3_S61	SIP1614_KL5_F4_S62	SIP1614_KL5_F5_S63	SIP1614_KL5_F6_S64	SIP1614_KL5_F7_S65	SIP1614_KL5_F8_S66	SIP1614_KL5_F9_S67	SIP1614_KL5_whole_S69	SIP1614_L5_S93	SIP1712_A6_S141	SIP1712_A6B6_S135	SIP1712_AB0_S138	SIP1712_AB6_F1_S97	SIP1712_AB6_F10_S106	SIP1712_AB6_F2_S98	SIP1712_AB6_F3_S99	SIP1712_AB6_F4_S100	SIP1712_AB6_F5_S101	SIP1712_AB6_F6_S102	SIP1712_AB6_F7_S103	SIP1712_AB6_F8_S104	SIP1712_AB6_F9_S105	SIP1712_AB6_whole_S107	SIP1712_B6_S142	SIP1712_C6_S143	SIP1712_C6D6_S136	SIP1712_CD0_S139	SIP1712_CD6_F1_S108	SIP1712_CD6_F10_S117	SIP1712_CD6_F2_S109	SIP1712_CD6_F3_S110	SIP1712_CD6_F4_S111	SIP1712_CD6_F5_S112	SIP1712_CD6_F6_S113	SIP1712_CD6_F7_S114	SIP1712_CD6_F8_S115	SIP1712_CD6_F9_S116	SIP1712_CD6_whole_S118	SIP1712_D6_S144	SIP1712_E6_S145	SIP1712_E6F6_S137	SIP1712_EF0_S140	SIP1712_EF6_F1_S119	SIP1712_EF6_F10_S128	SIP1712_EF6_F2_S120	SIP1712_EF6_F3_S121	SIP1712_EF6_F4_S122	SIP1712_EF6_F5_S123	SIP1712_EF6_F6_S124	SIP1712_EF6_F7_S125	SIP1712_EF6_F8_S126	SIP1712_EF6_F9_S127	SIP1712_EF6_whole_S129	SIP1712_F6_S146	SIP1726_AB5_F1_S147	SIP1726_AB5_F10_S156	SIP1726_AB5_F2_S148	SIP1726_AB5_F3_S149	SIP1726_AB5_F4_S150	SIP1726_AB5_F5_S151	SIP1726_AB5_F6_S152	SIP1726_AB5_F7_S153	SIP1726_AB5_F8_S154	SIP1726_AB5_F9_S155	SIP1726_AB5_whole_S157	SIP1726_CD5_F1_S158	SIP1726_CD5_F10_S167	SIP1726_CD5_F2_S159	SIP1726_CD5_F3_S160	SIP1726_CD5_F4_S161	SIP1726_CD5_F5_S162	SIP1726_CD5_F6_S163	SIP1726_CD5_F7_S164	SIP1726_CD5_F8_S165	SIP1726_CD5_F9_S166	SIP1726_CD5_whole_S168	SIP1726_EF5_F1_S169	SIP1726_EF5_F10_S178	SIP1726_EF5_F2_S170	SIP1726_EF5_F3_S171	SIP1726_EF5_F4_S172	SIP1726_EF5_F5_S173	SIP1726_EF5_F6_S174	SIP1726_EF5_F7_S175	SIP1726_EF5_F8_S176	SIP1726_EF5_F9_S177	SIP1726_EF5_whole_S179	SIP1726_GF75_A13_S228	SIP1726_GF75_A9_S212	SIP1726_GF75_B13_S229	SIP1726_GF75_B9_S213	SIP1726_GF75_C13_S230	SIP1726_GF75_C9_S214	SIP1726_GF75_D13_S231	SIP1726_GF75_D9_S215	SIP1726_GF75_E13_S232	SIP1726_GF75_E9_S216	SIP1726_GF75_F13_S233	SIP1726_GF75_F9_S217	SIP1726_GF75_G13_S234	SIP1726_GF75_G9_S218	SIP1726_GF75_H13_S235	SIP1726_GF75_H9_S219	SIP1726_GH5_F1_S180	SIP1726_GH5_F10_S189	SIP1726_GH5_F2_S181	SIP1726_GH5_F3_S182	SIP1726_GH5_F4_S183	SIP1726_GH5_F5_S184	SIP1726_GH5_F6_S185	SIP1726_GH5_F7_S186	SIP1726_GH5_F8_S187	SIP1726_GH5_F9_S188	SIP1726_GH5_whole_S190	SIP1726_Omnipore_A13_S220	SIP1726_Omnipore_A5_S201	SIP1726_Omnipore_A5B5_S193	SIP1726_Omnipore_AB0_S197	SIP1726_Omnipore_B13_S221	SIP1726_Omnipore_B5_S202	SIP1726_Omnipore_C13_S222	SIP1726_Omnipore_C5_S203	SIP1726_Omnipore_C5D5_S194	SIP1726_Omnipore_CD0_S198	SIP1726_Omnipore_D13_S223	SIP1726_Omnipore_D5_S204	SIP1726_Omnipore_E13_S224	SIP1726_Omnipore_E5_S205	SIP1726_Omnipore_E5F5_S195	SIP1726_Omnipore_EF0_S199	SIP1726_Omnipore_F13_S225	SIP1726_Omnipore_F5_S206	SIP1726_Omnipore_G13_S226	SIP1726_Omnipore_G5_S207	SIP1726_Omnipore_G5H5_S196	SIP1726_Omnipore_GH0_S200	SIP1726_Omnipore_H13_S227	SIP1726_Omnipore_H5_S208	Kingdom	Phylum	Class	Order	Family	Genus
SIP1	0	0	0	0	0	0	0	0	0	0	0	167	177	0	218	0	0	226	0	0	183	0	0	216	200	160	0	5087	5428	301	10483	3852	9459	10127	8476	5397	5463	4348	2648	2613	3614	4953	9238	7262	333	22919	7080	14769	17198	22211	16424	11580	14302	6834	10022	11991	10350	17233	16154	290	36879	4832	37406	18507	17054	11445	9231	9881	6434	4029	11587	12017	8710	6262	5072	21535	13921	20394	9326	10210	16001	7469	6460	7092	9215	8262	10018	9296	4177	5217	26036	3203	19810	23816	20324	20541	24217	12706	6362	6431	8796	8752	11038	6212	4971	29269	15828	24861	19805	19564	11629	10476	6062	6616	6382	8330	12981	1290	2399	742	7082	1509	5579	8844	5546	7875	7106	3458	2491	1316	2427	2594	4681	3757	4295	9847	1401	6994	11673	11796	7859	2932	1353	4609	5591	5284	4672	349	354	490	856	343	1018	806	758	938	507	673	580	270	440	361	26213	8486	29104	18169	17037	30409	17428	13176	10377	9501	11109	19247	6023	15368	13015	15300	14195	10939	7158	5511	8151	5997	17879	2284	20339	16583	20501	13324	10461	9031	5873	4084	7317	5222	14347	5135	12965	1917	7712	1885	11424	2859	11844	1124	6888	662	5118	508	5274	16664	2363	8338	8042	12018	8596	4118	5121	4427	5062	4368	1534	13187	8247	82	1330	8429	877	3922	4651	124	561	3885	1844	5863	5608	0	359	7706	0	4534	3808	0	0	6163	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas
SIP2	0	0	41	0	0	26	25	0	0	0	0	0	0	0	0	0	26	0	91	41	0	0	0	0	0	0	0	2217	2401	188	5580	2193	5306	5809	4518	3147	2939	2682	1490	1392	1982	2499	5087	3741	206	13816	4167	8868	9908	14196	9764	7202	8583	3982	5763	7110	5537	6726	7161	231	18175	2341	17069	9296	9124	5938	4690	4658	3220	2101	5367	5286	7119	4652	4157	18170	12115	17583	7255	8103	13800	6370	5719	5951	7117	6722	6491	7916	3179	3734	22452	2403	17044	21086	17047	17284	20255	11083	5343	4856	7279	6637	6116	3544	3669	18751	9709	15698	12802	13447	7758	6439	3351	4067	4008	5101	8086	1093	1571	568	6379	1252	4408	6807	4288	6045	5144	2777	1955	1259	1803	1825	6337	5563	3239	15271	2722	10833	17982	17519	11872	4901	3385	6986	5076	7192	5977	443	332	395	709	306	918	657	690	696	443	571	398	157	392	221	9249	3023	10635	7809	6498	9814	6019	4215	3566	3370	4322	25316	7241	20679	17633	20943	18676	14922	10056	7645	6219	7167	35305	3471	34898	27132	31351	18841	15115	12191	7239	5665	9404	3679	5746	3292	4995	7377	9189	15311	14845	11743	18189	7488	12107	3634	11954	4554	11919	34575	3951	16747	15050	22336	15970	7672	11010	8296	8086	7367	759	5616	3009	0	580	3587	3170	5081	5874	0	3326	5110	8785	7649	6535	221	2066	9295	1354	7531	6609	168	2230	10211	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas
SIP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1308	1526	100	3099	1062	2785	2866	2404	1519	1654	1229	780	878	1129	1311	2045	1708	102	6275	1310	3330	4218	5334	4242	2841	3373	1757	2589	2910	2564	4554	4295	116	10404	1277	10192	5144	4560	2850	2700	2694	1624	1060	3199	2999	1337	1346	826	4134	1812	3581	1654	1837	3067	1333	1243	1570	1504	1419	2006	1283	658	937	3684	327	2835	3493	2840	2867	3441	1689	949	839	1244	1226	1566	889	744	4094	2017	3450	2526	2629	1643	1544	769	1027	878	1086	1632	314	577	169	1726	418	1241	1921	1300	1899	1603	757	596	333	581	609	999	651	959	2152	322	1486	2566	2476	1721	494	184	1142	1303	1274	969	129	63	138	181	104	282	209	214	223	156	138	135	0	117	81	7501	2553	8807	5180	4966	9317	4837	3490	2884	2808	3076	5116	1376	3934	3255	4014	3678	2487	1881	1302	1378	1353	4272	554	4656	3708	4619	3015	2518	2337	1352	624	1585	1388	4474	1295	4053	398	1966	284	2900	767	2617	244	1482	0	764	0	858	2167	356	1092	1088	1572	1158	673	737	669	757	663	442	3893	2466	0	340	2345	156	952	1036	0	104	857	379	1394	1259	0	0	1876	0	660	511	0	0	961	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas
SIP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	187	0	485	0	439	458	382	0	239	0	0	147	0	0	727	477	0	1896	268	1137	1309	1631	1336	891	1171	513	788	926	553	264	318	0	1145	0	1178	505	691	447	418	0	0	0	318	377	244	161	0	0	0	0	0	0	0	0	0	278	0	0	232	328	138	0	1020	0	793	927	662	628	860	454	0	256	318	260	0	0	0	711	329	567	500	471	0	0	152	0	0	0	0	0	186	0	815	0	455	731	441	480	422	0	226	0	248	270	2933	2250	434	7810	677	5375	9319	9912	6989	3689	5188	1667	0	3129	2440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7098	1846	5746	4828	5372	5320	4043	3051	2185	924	1987	1283	0	1218	828	1132	739	510	440	321	0	368	0	0	0	0	1928	1807	4556	3287	1954	752	1062	623	392	626	332	422	1533	469	772	633	997	649	327	0	0	379	326	0	0	0	0	0	0	759	1191	1359	0	844	1449	705	360	257	0	0	392	0	341	0	0	0	479	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas
SIP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	7	13	55	34	0	38	303	49	58	40	19	14	0	0	56	63	39	5940	4139	0	22679	6712	20051	12810	13363	16149	9725	12471	10611	6743	8169	3836	28	0	85	0	0	0	0	29	36	83	298	267	153	211	183	246	242	309	185	166	419	196	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	25	74	310	341	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	124	0	93	162	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
SIP6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1587	1563	356	1147	85	1269	1697	1327	1134	1460	1188	1149	1798	883	991	1442	1274	273	1496	123	932	1087	1245	1075	1143	1886	1545	2024	1902	1071	2122	523	385	1068	263	1128	1010	765	270	74	232	6169	1022	976	341	814	757	170	896	247	1182	737	790	1373	1144	1327	1688	76	783	1107	305	150	184	310	0	338	353	409	505	411	339	274	111	110	192	269	121	137	101	143	114	93	68	43	0	23	1334	302	128	84	1226	1489	118	6251	1882	1466	2331	2110	1750	1588	1497	1362	1572	1831	1111	878	429	215	2079	305	1525	2285	2345	1613	503	209	1321	1273	1279	1053	593	240	67	463	308	513	420	402	396	348	342	457	611	427	176	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	18	0	0	49	15	0	0	0	0	0	0	0	0	933	876	475	365	61	16	139	0	104	0	131	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	501	0	0	0	211	0	47	0	0	0	41	0	57	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Marinobacter
SIP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	24	17	8	17	8	25	16	0	14	12	15	0	26	0	0	10	0	0	0	21	0	0	13	0	30	10	0	31	0	19	24	59	50	29	11	17	66	26	26	2534	1480	1068	2622	434	4026	3558	3743	3655	4035	5297	2361	198	1572	1416	2371	986	924	1263	19	2227	2562	3641	4583	3413	3775	3256	410	980	1172	1378	680	870	1058	515	1072	981	1057	1233	1290	121	768	224	755	762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	428	141	247	172	317	301	588	2328	162	18	310	78	14	72	78	99	147	359	691	0	0	88	591	145	628	111	181	214	1762	439	388	824	227	731	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	166	20	0	13	55	0	43	79	206	0	216	249	52	62	65	0	36	160	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Oceanibulbus
SIP8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	750	857	1385	265	2887	1283	977	918	913	936	436	293	576	567	906	411	325	985	74	132	320	361	472	788	290	292	139	75	208	368	435	244	981	73	2262	112	151	64	54	0	0	311	1322	269	328	550	1097	2762	961	752	1595	2213	1615	1392	2183	1876	1583	1089	1183	1201	221	23	2227	160	1152	442	484	536	642	537	183	141	342	698	422	540	274	2151	110	226	284	330	287	529	573	685	520	184	418	254	313	532	329	293	293	522	454	682	774	861	529	39	533	75	47	192	107	218	151	59	148	202	147	647	252	232	388	559	578	324	116	350	375	404	224	674	258	57	157	148	66	51	99	0	141	99	203	66	229	120	619	388	430	303	603	720	719	316	124	365	494	830	778	1185	395	612	148	169	223	1295	250	136	100	322	338	1818	127	334	216	330	332	1114	142	318	Archaea	Thaumarchaeota	Marine_Group_I	Unknown_Order	Unknown_Family	Candidatus_Nitrosopelagicus
SIP9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	395	702	438	205	574	579	517	447	606	606	216	164	308	363	335	279	549	307	372	393	568	507	230	561	311	0	284	435	412	147	0	536	183	603	242	0	302	0	0	0	0	595	240	305	649	558	848	406	1120	695	481	612	982	669	452	0	418	520	582	406	224	680	0	79	388	430	595	874	330	323	0	0	213	394	174	108	572	0	878	162	0	106	0	0	0	233	702	0	325	309	343	816	609	368	463	713	642	905	728	755	760	588	617	441	108	0	126	105	707	213	0	195	246	215	0	129	275	0	212	224	0	778	159	205	208	0	202	286	343	296	0	0	0	152	0	1005	545	413	347	581	580	775	974	696	649	83	568	0	103	0	190	181	169	0	181	187	0	726	334	0	0	361	439	362	125	522	520	465	0	680	0	0	0	291	0	0	0	365	165	0	0	440	0	343	510	0	0	520	459	575	605	405	165	566	332	720	511	889	0	709	0	0	0	926	0	0	333	431	404	1088	0	497	0	288	329	836	0	402	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ib	Not_annotated
SIP10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1174	1703	115	1382	100	1625	1673	1449	1346	2004	2485	3377	1371	1115	1506	584	612	206	752	58	589	640	712	622	858	1659	1509	400	814	777	196	279	118	613	144	944	618	1102	642	654	376	346	103	451	1146	107	101	0	93	0	142	117	129	185	148	479	143	0	120	101	93	55	0	103	0	107	114	149	224	200	181	130	35	60	112	0	34	0	37	29	45	30	27	0	24	0	42	16	36	125	436	609	41	1573	541	555	746	674	525	457	481	603	1465	608	581	421	118	72	991	61	779	1130	1800	1336	1313	822	96	36	400	441	147	55	22	139	0	95	0	86	65	57	74	101	109	61	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	35	0	0	0	108	0	107	0	38	0	0	0	420	69	55	34	252	404	621	588	10	0	27	0	25	0	32	52	58	0	0	139	0	0	0	45	0	35	0	0	0	27	0	251	0	12	0	56	0	401	28	0	0	480	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Oceanicola
